Benchmark                      (rank)   Mode  Cnt        Score       Error  Units
DoubleBiasGelu.standard           100  thrpt   15      510.738 ±    13.287  ops/s
DoubleBiasGelu.standard           200  thrpt   15       71.630 ±     0.184  ops/s
DoubleBiasGelu.standard           400  thrpt   15        6.969 ±     0.097  ops/s
DoubleBiasGelu.vectorized         100  thrpt   15      587.369 ±     1.873  ops/s
DoubleBiasGelu.vectorized         200  thrpt   15       80.840 ±     0.183  ops/s
DoubleBiasGelu.vectorized         400  thrpt   15        7.527 ±     0.112  ops/s
DoubleDotN.standard               100  thrpt   15    17913.101 ±   210.492  ops/s
DoubleDotN.standard               400  thrpt   15      691.087 ±    10.475  ops/s
DoubleDotN.standard              1000  thrpt   15       38.516 ±     0.207  ops/s
DoubleDotN.vectorized             100  thrpt   15    13510.658 ±   183.810  ops/s
DoubleDotN.vectorized             400  thrpt   15      474.336 ±    20.800  ops/s
DoubleDotN.vectorized            1000  thrpt   15       28.676 ±     1.074  ops/s
DoubleDotTranspose.standard       100  thrpt   15    10033.696 ±    56.971  ops/s
DoubleDotTranspose.standard       400  thrpt   15      337.024 ±     0.775  ops/s
DoubleDotTranspose.standard      1000  thrpt   15       23.137 ±     0.056  ops/s
DoubleDotTranspose.vectorized     100  thrpt   15    13171.094 ±   225.522  ops/s
DoubleDotTranspose.vectorized     400  thrpt   15      502.211 ±    10.023  ops/s
DoubleDotTranspose.vectorized    1000  thrpt   15       32.718 ±     0.552  ops/s
DoubleElu.standard                100  thrpt   15      711.406 ±     2.473  ops/s
DoubleElu.standard                200  thrpt   15       96.647 ±     0.221  ops/s
DoubleElu.standard                400  thrpt   15        8.761 ±     0.115  ops/s
DoubleElu.vectorized              100  thrpt   15      910.662 ±     5.859  ops/s
DoubleElu.vectorized              200  thrpt   15      126.364 ±     0.257  ops/s
DoubleElu.vectorized              400  thrpt   15       10.270 ±     0.169  ops/s
DoubleExp.standard                100  thrpt   15      440.699 ±     1.110  ops/s
DoubleExp.standard                200  thrpt   15       58.299 ±     0.093  ops/s
DoubleExp.standard                400  thrpt   15        6.185 ±     0.114  ops/s
DoubleExp.vectorized              100  thrpt   15      951.360 ±     2.621  ops/s
DoubleExp.vectorized              200  thrpt   15      118.694 ±     0.270  ops/s
DoubleExp.vectorized              400  thrpt   15       10.148 ±     0.119  ops/s
DoubleFastGelu.standard           100  thrpt   15      598.338 ±     2.222  ops/s
DoubleFastGelu.standard           200  thrpt   15       80.774 ±     0.270  ops/s
DoubleFastGelu.standard           400  thrpt   15        7.428 ±     0.153  ops/s
DoubleFastGelu.vectorized         100  thrpt   15      923.611 ±     2.001  ops/s
DoubleFastGelu.vectorized         200  thrpt   15      115.714 ±     0.329  ops/s
DoubleFastGelu.vectorized         400  thrpt   15        9.351 ±     0.163  ops/s
DoubleLogistic.standard       	  100  thrpt   15    16233.142 ±   517.228  ops/s
DoubleLogistic.standard       	  200  thrpt   15     6285.976 ±    95.744  ops/s
DoubleLogistic.standard       	  400  thrpt   15     2410.519 ±    32.290  ops/s
DoubleLogistic.vectorized     	  100  thrpt   15    37059.905 ±   466.103  ops/s
DoubleLogistic.vectorized     	  200  thrpt   15    16986.516 ±   416.999  ops/s
DoubleLogistic.vectorized     	  400  thrpt   15     6801.063 ±    37.070  ops/s
DoubleProbit.standard             100  thrpt   15      468.007 ±     5.341  ops/s
DoubleProbit.standard             200  thrpt   15       63.419 ±     0.102  ops/s
DoubleProbit.standard             400  thrpt   15        6.358 ±     0.068  ops/s
DoubleProbit.vectorized           100  thrpt   15      705.809 ±     2.454  ops/s
DoubleProbit.vectorized           200  thrpt   15       95.333 ±     0.243  ops/s
DoubleProbit.vectorized           400  thrpt   15        8.482 ±     0.114  ops/s
DoubleSoftmax.standard            100  thrpt   15      287.902 ±     1.446  ops/s
DoubleSoftmax.standard            200  thrpt   15       49.091 ±     0.125  ops/s
DoubleSoftmax.standard            400  thrpt   15        7.361 ±     0.012  ops/s
DoubleSoftmax.vectorized          100  thrpt   15      352.816 ±     2.461  ops/s
DoubleSoftmax.vectorized          200  thrpt   15       68.467 ±     0.187  ops/s
DoubleSoftmax.vectorized          400  thrpt   15       11.284 ±     0.014  ops/s
DoubleSoftmax13.standard          100  thrpt   15      288.903 ±     1.398  ops/s
DoubleSoftmax13.standard          200  thrpt   15       47.691 ±     0.179  ops/s
DoubleSoftmax13.standard          400  thrpt   15        7.720 ±     0.008  ops/s
DoubleSoftmax13.vectorized        100  thrpt   15      368.088 ±     1.783  ops/s
DoubleSoftmax13.vectorized        200  thrpt   15       64.874 ±     1.509  ops/s
DoubleSoftmax13.vectorized        400  thrpt   15       12.337 ±     0.021  ops/s
FloatBiasGelu.standard            100  thrpt   15      646.945 ±     1.727  ops/s
FloatBiasGelu.standard            200  thrpt   15       94.681 ±     0.182  ops/s
FloatBiasGelu.standard            400  thrpt   15       10.173 ±     0.170  ops/s
FloatBiasGelu.vectorized          100  thrpt   15      780.888 ±     2.109  ops/s
FloatBiasGelu.vectorized          200  thrpt   15      133.461 ±     0.231  ops/s
FloatBiasGelu.vectorized          400  thrpt   15       13.631 ±     0.321  ops/s
FloatDotN.standard                100  thrpt   15    21085.389 ±   334.543  ops/s
FloatDotN.standard                400  thrpt   15      909.084 ±    47.317  ops/s
FloatDotN.standard               1000  thrpt   15       45.644 ±     0.225  ops/s
FloatDotN.vectorized              100  thrpt   15    19662.463 ±   427.904  ops/s
FloatDotN.vectorized              400  thrpt   15      859.000 ±    19.576  ops/s
FloatDotN.vectorized             1000  thrpt   15       57.522 ±     0.257  ops/s
FloatDotTranspose.standard        100  thrpt   15    10682.974 ±    97.228  ops/s
FloatDotTranspose.standard        400  thrpt   15      345.451 ±     0.607  ops/s
FloatDotTranspose.standard       1000  thrpt   15       23.818 ±     0.209  ops/s
FloatDotTranspose.vectorized      100  thrpt   15    19231.396 ±   247.378  ops/s
FloatDotTranspose.vectorized      400  thrpt   15      883.943 ±     8.689  ops/s
FloatDotTranspose.vectorized     1000  thrpt   15       65.259 ±     0.344  ops/s
FloatElu.standard                 100  thrpt   15      867.233 ±     1.544  ops/s
FloatElu.standard                 200  thrpt   15      117.688 ±     0.137  ops/s
FloatElu.standard                 400  thrpt   15       12.262 ±     0.145  ops/s
FloatElu.vectorized               100  thrpt   15     1055.610 ±     2.471  ops/s
FloatElu.vectorized               200  thrpt   15      146.361 ±     2.352  ops/s
FloatElu.vectorized               400  thrpt   15       20.660 ±     0.396  ops/s
FloatExp.standard                 100  thrpt   15      489.763 ±     1.123  ops/s
FloatExp.standard                 200  thrpt   15       63.575 ±     0.065  ops/s
FloatExp.standard                 400  thrpt   15        7.244 ±     0.054  ops/s
FloatExp.vectorized               100  thrpt   15     1002.985 ±     1.792  ops/s
FloatExp.vectorized               200  thrpt   15      244.517 ±     6.073  ops/s
FloatExp.vectorized               400  thrpt   15       20.937 ±     0.310  ops/s
FloatFastGelu.standard            100  thrpt   15      710.756 ±     0.887  ops/s
FloatFastGelu.standard            200  thrpt   15       97.864 ±     0.110  ops/s
FloatFastGelu.standard            400  thrpt   15       10.171 ±     0.076  ops/s
FloatFastGelu.vectorized          100  thrpt   15      954.122 ±     2.854  ops/s
FloatFastGelu.vectorized          200  thrpt   15      223.140 ±     0.453  ops/s
FloatFastGelu.vectorized          400  thrpt   15       18.326 ±     0.242  ops/s
FloatLogistic.standard            100  thrpt   15      418.258 ±     0.585  ops/s
FloatLogistic.standard            200  thrpt   15       54.886 ±     0.110  ops/s
FloatLogistic.standard            400  thrpt   15        7.077 ±     0.013  ops/s
FloatLogistic.vectorized          100  thrpt   15     1195.141 ±    16.058  ops/s
FloatLogistic.vectorized          200  thrpt   15      164.289 ±     0.611  ops/s
FloatLogistic.vectorized          400  thrpt   15       23.683 ±     0.158  ops/s
FloatProbit.standard              100  thrpt   15      572.623 ±     0.557  ops/s
